City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,bathsheba,13.2167,-59.5167,23.36,94,20,3.09,BB,1670291585
251,visnes,59.3556,5.2242,2.9,93,20,4.12,NO,1670291589
252,lerwick,60.1545,-1.1494,4.0,66,95,10.78,GB,1670291589
253,yeppoon,-23.1333,150.7333,31.88,47,0,2.61,AU,1670291592
254,arlit,18.7369,7.3853,23.69,17,100,1.71,NE,1670291593
255,jalu,29.0331,21.5482,16.42,37,47,3.43,LY,1670291597
256,maniitsoq,65.4167,-52.9,1.7,86,100,11.17,GL,1670291597
257,bikaner,28.0167,73.3,12.89,32,0,1.3,IN,1670291598
258,buala,-8.145,159.5921,28.7,75,85,2.49,SB,1670291598
259,pevek,69.7008,170.3133,-24.59,83,100,1.3,RU,1670291602
260,teguise,29.0605,-13.564,15.12,88,0,3.6,ES,1670291603
261,mnogovershinnyy,53.9353,139.9242,-18.55,89,99,3.18,RU,1670291603
262,beloha,-25.1667,45.05,24.46,69,7,2.66,MG,1670291604
263,tessalit,20.1986,1.0114,24.06,16,96,4.27,ML,1670291605
264,vila velha,-20.3297,-40.2925,22.97,91,40,3.09,BR,1670291605
265,tupiza,-21.45,-65.7167,13.99,49,54,4.69,BO,1670291607
266,ngunguru,-35.6167,174.5,18.54,76,100,3.31,NZ,1670291610
267,port moresby,-9.4431,147.1797,31.68,58,40,5.14,PG,1670291536
268,vaxjo,56.8777,14.8091,0.03,100,100,3.09,SE,1670291611
269,acevedo,1.8361,-75.855,17.22,97,60,0.61,CO,1670291611
270,katobu,-4.9408,122.5276,30.09,64,100,1.54,ID,1670291612
271,ust-kuyga,70.0167,135.6,-39.06,100,99,0.89,RU,1670291612
272,sokolo,14.7328,-6.1219,27.74,23,95,4.47,ML,1670291612
273,rawson,-43.3002,-65.1023,20.7,46,23,3.58,AR,1670291613
274,sevsk,52.1491,34.4926,-6.92,61,100,4.09,RU,1670291613
275,menongue,-14.6585,17.691,17.32,90,97,1.18,AO,1670291613
276,harseni,45.75,25.0167,-0.41,78,98,1.35,RO,1670291614
277,ginda,30.6945,78.4932,7.46,14,98,2.99,IN,1670291614
278,kununurra,-15.7667,128.7333,33.99,62,40,2.57,AU,1670291614
279,luwuk,-0.9516,122.7875,29.8,59,100,2.74,ID,1670291615
280,mahdasht,35.7299,50.8111,3.12,100,100,2.06,IR,1670291615
281,petropavlovka,50.6114,105.3196,-17.13,79,100,2.54,RU,1670291615
282,de-kastri,51.4667,140.7833,-12.03,69,33,1.97,RU,1670291619
283,dawlatabad,36.4141,64.9053,-0.44,80,100,2.34,AF,1670291619
284,inirida,3.8653,-67.9239,23.55,93,76,0.83,CO,1670291619
285,doka,13.5167,35.7667,22.79,40,25,3.07,SD,1670291622
286,axos,40.7989,22.3558,10.66,89,98,0.39,GR,1670291623
287,aloleng,16.1307,119.7824,29.33,66,8,2.78,PH,1670291623
288,sambava,-14.2667,50.1667,23.13,87,14,4.23,MG,1670291624
289,san rafael,-34.6177,-68.3301,27.33,32,75,0.0,AR,1670291627
290,constitucion,-35.3333,-72.4167,13.27,80,0,3.98,CL,1670291457
291,mullingar,53.5333,-7.35,4.82,88,100,4.25,IE,1670291627
292,naze,28.3667,129.4833,16.51,65,95,7.59,JP,1670291627
293,buritis,-15.6178,-46.4233,20.85,94,100,1.31,BR,1670291628
294,peniche,39.3558,-9.3811,12.84,96,100,3.63,PT,1670291628
295,flinders,-34.5833,150.8552,20.7,64,68,4.76,AU,1670291628
296,koulikoro,14.0,-7.75,25.7,30,53,3.82,ML,1670291629
297,nishihara,26.1842,127.7558,20.6,79,75,8.75,JP,1670291629
298,tiksi,71.6872,128.8694,-26.09,94,100,5.08,RU,1670291632
299,cortes,41.9395,-1.4396,6.6,80,100,0.48,ES,1670291633
300,sohag,26.557,31.6948,15.16,66,0,5.23,EG,1670291633
301,necochea,-38.5473,-58.7368,25.52,44,14,9.64,AR,1670291633
302,high rock,26.6208,-78.2833,23.01,62,74,5.09,BS,1670291634
303,luan,46.3592,6.9759,-2.26,86,7,0.45,CH,1670291634
304,vigrestad,58.5667,5.7,2.55,82,100,4.48,NO,1670291634
305,selma,36.5708,-119.6121,13.85,76,0,2.57,US,1670291635
306,tighina,46.8306,29.4711,-2.57,80,100,3.96,MD,1670291635
307,grants pass,42.439,-123.3284,8.73,88,100,1.54,US,1670291345
308,saint-philippe,-21.3585,55.7679,23.77,85,98,4.63,RE,1670291636
309,aklavik,68.2191,-135.0107,-24.94,84,92,8.49,CA,1670291636
310,carutapera,-1.195,-46.02,25.71,83,90,3.21,BR,1670291636
311,diebougou,10.9667,-3.25,25.7,28,62,2.2,BF,1670291637
312,buta,2.7858,24.73,20.77,98,100,0.77,CD,1670291474
313,rocha,-34.4833,-54.3333,16.01,94,0,3.02,UY,1670291637
314,tucuman,-26.8241,-65.2226,28.0,47,0,3.09,AR,1670291641
315,jaisalmer,26.9147,70.9181,16.03,25,0,2.56,IN,1670291641
316,port lincoln,-34.7333,135.8667,18.71,59,98,4.4,AU,1670291641
317,latung,5.5,120.8833,27.45,77,100,3.83,PH,1670291642
318,sobradinho,-12.8333,-39.1,20.6,95,100,0.95,BR,1670291642
319,cabedelo,-6.9811,-34.8339,25.37,77,7,5.49,BR,1670291643
320,siavonga,-16.5382,28.7088,26.09,48,87,2.78,ZM,1670291644
321,yerbogachen,61.2767,108.0108,-12.67,91,100,4.43,RU,1670291645
322,maues,-3.3836,-57.7186,22.36,90,79,0.86,BR,1670291649
323,kuytun,54.3419,101.5036,-11.05,61,100,7.58,RU,1670291649
324,touros,-5.1989,-35.4608,25.84,73,0,5.8,BR,1670291653
325,bambous virieux,-20.3428,57.7575,23.14,88,75,2.57,MU,1670291653
326,hoganas,56.1997,12.558,2.79,71,100,1.34,SE,1670291399
327,cockburn town,21.4612,-71.1419,25.98,61,40,7.2,TC,1670291584
328,firminopolis,-16.5819,-50.305,20.34,88,99,1.49,BR,1670291658
329,kirakira,-10.4544,161.9205,29.66,69,100,3.07,SB,1670291658
330,san-pedro,4.7485,-6.6363,25.36,88,66,2.03,CI,1670291659
331,grindavik,63.8424,-22.4338,1.26,93,0,2.06,IS,1670291659
332,beringovskiy,63.05,179.3167,-2.78,70,75,10.63,RU,1670291662
333,mehamn,71.0357,27.8492,2.97,87,75,2.57,NO,1670291663
334,batie,9.8833,-2.9167,26.39,29,59,1.84,BF,1670291664
335,marsh harbour,26.5412,-77.0636,23.54,72,61,3.72,BS,1670291664
336,deputatskiy,69.3,139.9,-34.44,96,100,0.85,RU,1670291665
337,san juan,-31.5375,-68.5364,32.46,19,0,8.09,AR,1670291484
338,evensk,61.95,159.2333,-18.91,89,42,3.31,RU,1670291666
339,esperance,-33.8667,121.9,18.46,70,97,5.53,AU,1670291666
340,coquimbo,-29.9533,-71.3436,14.85,88,0,1.54,CL,1670291667
341,port hedland,-20.3167,118.5667,40.03,15,54,3.6,AU,1670291670
342,traralgon,-38.1833,146.5333,18.65,44,98,0.32,AU,1670291671
343,maraba,-5.3686,-49.1178,24.1,100,75,1.03,BR,1670291671
344,lavrentiya,65.5833,-171.0,-1.67,97,100,14.94,RU,1670291671
345,bilibino,68.0546,166.4372,-19.04,72,100,2.73,RU,1670291672
346,ballinrobe,53.6333,-9.2333,5.97,86,100,5.37,IE,1670291672
347,tecoanapa,16.5167,-98.75,25.74,76,0,2.26,MX,1670291672
348,casablanca,33.5928,-7.6192,16.01,87,26,4.85,MA,1670291673
349,dongsheng,39.8161,109.9776,-7.35,37,4,2.03,CN,1670291673
350,taitung,22.7583,121.1444,21.15,73,75,4.63,TW,1670291673
351,san diego,32.7153,-117.1573,15.18,74,75,5.66,US,1670291403
352,atbasar,51.8,68.3333,-25.77,96,78,1.84,KZ,1670291674
353,charagua,-19.8,-63.2167,23.66,36,67,0.52,BO,1670291674
354,alyangula,-13.8483,136.4192,31.1,52,12,4.83,AU,1670291674
